2012/1/11,45.2
2012/1/12,45.29
2012/1/13,45.38
2012/1/16,44.67
2012/1/17,45.11
2012/1/18,44.98
2012/1/30,46.23
2012/1/31,46.36
2012/2/1,46.67
2012/2/2,47.21
2012/2/3,47.34
2012/2/4,47.88
2012/2/6,47.48
2012/2/7,47.57
2012/2/8,48.59
2012/2/9,48.55
2012/2/10,48.15
2012/2/13,48.37
2012/2/14,48.19
2012/2/15,48.99
2012/2/16,48.41
2012/2/17,48.86
2012/2/20,48.82
2012/2/21,48.64
2012/2/22,48.95
2012/2/23,48.73
2012/2/24,48.86
2012/2/29,49.98
2012/3/1,49.89
2012/3/2,49.62
2012/3/3,49.44
2012/3/5,48.95
2012/3/6,48.73
2012/3/7,48.55
2012/3/8,48.82
2012/3/9,49.04
2012/3/12,48.5
2012/3/13,49.17
2012/3/14,49.89
2012/3/15,49.66
2012/3/16,49.44
2012/3/19,49.31
2012/3/20,48.95
2012/3/21,48.95
2012/3/22,49.62
2012/3/23,49.49
2012/3/26,48.68
2012/3/27,49.31
2012/3/28,49.49
2012/3/29,48.82
2012/3/30,48.99
2012/4/2,48.82
2012/4/3,48.41
2012/4/5,47.88
2012/4/6,47.97
2012/4/9,47.39
2012/4/10,47.39
2012/4/11,47.57
2012/4/12,47.61
2012/4/13,48.15
2012/4/16,48.01
2012/4/17,47.21
2012/4/18,47.3
2012/4/19,47.34
2012/4/20,46.72
2012/4/23,46.67
2012/4/24,46.76
2012/4/25,47.03
2012/4/26,46.67
2012/4/27,46.59
2012/4/30,46.45
2012/5/2,47.61
2012/5/3,47.39
2012/5/4,47.48
2012/5/7,46.45
2012/5/8,46.45
2012/5/9,46.14
2012/5/10,46.14
2012/5/11,45.65
2012/5/14,45.69
2012/5/15,45.69
2012/5/16,44.8
2012/5/17,45.34
2012/5/18,44.33
2012/5/21,44.58
2012/5/22,44.98
2012/5/23,44.17
2012/5/24,44.07
2012/5/25,43.74
2012/5/28,44.15
2012/5/29,45.25
2012/5/30,44.71
2012/5/31,44.76
2012/6/1,43.86
2012/6/4,42.55
2012/6/5,43.1
2012/6/6,43.4
2012/6/7,43.5
2012/6/8,42.84
2012/6/11,43.72
2012/6/12,43.38
2012/6/13,43.47
2012/6/14,43.53
2012/6/15,44.09
2012/6/18,44.8
2012/6/19,44.54
2012/6/20,45.02
2012/6/21,44.76
2012/6/22,44.23
2012/6/25,43.91
2012/6/26,43.72
2012/6/27,44.13
2012/6/28,44.2
2012/6/29,44.8
2012/7/2,45.16
2012/7/3,45.69
2012/7/4,45.87
2012/7/5,45.78
2012/7/6,45.51
2012/7/9,45.47
2012/7/10,44.98
2012/7/11,45.11
2012/7/12,44.31
2012/7/13,44.18
2012/7/16,44.18
2012/7/17,44.49
2012/7/18,43.91
2012/7/19,44.8
2012/7/20,44.76
2012/7/23,43.95
2012/7/24,43.84
2012/7/25,43.6
2012/7/26,43.68
2012/7/27,44.55
2012/7/30,44.84
2012/7/31,45.6
2012/8/1,45.69
2012/8/3,45.42
2012/8/6,46.01
2012/8/7,46.05
2012/8/8,46.18
2012/8/9,47.17
2012/8/10,47.12
2012/8/13,47.3
2012/8/14,47.52
2012/8/15,47.34
2012/8/16,47.48
2012/8/17,47.25
2012/8/20,47.12
2012/8/21,47.66
2012/8/22,47.61
2012/8/23,47.57
2012/8/24,47.39
2012/8/27,47.48
2012/8/28,46.85
2012/8/29,47.03
2012/8/30,46.9
2012/8/31,47.08
2012/9/3,47.43
2012/9/4,47.34
2012/9/5,46.72
2012/9/6,46.54
2012/9/7,47.25
2012/9/10,47.61
2012/9/11,47.57
2012/9/12,48.24
2012/9/13,48.33
2012/9/14,49.53
2012/9/17,49.62
2012/9/18,49.44
2012/9/19,49.66
2012/9/20,49.31
2012/9/21,49.49
2012/9/24,49.53
2012/9/25,49.35
2012/9/26,48.99
2012/9/27,49.17
2012/9/28,49.22
2012/10/1,49.08
2012/10/2,49.31
2012/10/3,49.08
2012/10/4,49.13
2012/10/5,49.17
2012/10/8,48.77
2012/10/9,48.55
2012/10/11,47.57
2012/10/12,47.43
2012/10/15,47.52
2012/10/16,47.75
2012/10/17,47.66
2012/10/18,47.88
2012/10/19,47.52
2012/10/22,47.21
2012/10/23,47.21
2012/10/24,47.16
2012/10/25,46.7
2012/10/26,46.16
2012/10/29,46.24
2012/10/30,46.65
2012/10/31,46.61
2012/11/1,46.56
2012/11/2,46.89
2012/11/5,46.7
2012/11/6,47.07
2012/11/7,47.3
2012/11/8,46.93
2012/11/9,47.26
2012/11/12,47.07
2012/11/13,46.29
2012/11/14,46.38
2012/11/15,46.24
2012/11/16,46.18
2012/11/19,46.47
2012/11/20,46.56
2012/11/21,46.21
2012/11/22,46.42
2012/11/23,47.81
2012/11/26,48.27
2012/11/27,48.46
2012/11/28,48.5
2012/11/29,49.11
2012/11/30,49.52
2012/12/3,49.48
2012/12/4,49.43
2012/12/5,49.71
2012/12/6,49.57
2012/12/7,49.85
2012/12/10,49.66
2012/12/11,49.61
2012/12/12,50.03
2012/12/13,50.59
2012/12/14,50.12
2012/12/17,49.48
2012/12/18,49.52
2012/12/19,49.66
2012/12/20,49.06
2012/12/21,48.83
2012/12/22,48.97
2012/12/24,48.74
2012/12/25,49.57
2012/12/26,49.48
2012/12/27,49.43
2012/12/28,49.75
2013/1/2,50.31
2013/1/3,50.72
2013/1/4,50.4
2013/1/7,50.17
2013/1/8,49.85
2013/1/9,50.03
2013/1/10,50.4
2013/1/11,50.35
2013/1/14,50.4
2013/1/15,49.94
2013/1/16,49.66
2013/1/17,49.29
2013/1/18,49.89
2013/1/21,49.85
2013/1/22,49.98
2013/1/23,49.94
2013/1/24,49.66
2013/1/25,49.48
2013/1/28,49.71
2013/1/29,50.4
2013/1/30,50.49
2013/1/31,50.49
2013/2/1,50.68
2013/2/4,51.05
2013/2/5,50.86
2013/2/6,51.23
2013/2/18,51.42
2013/2/19,51.46
2013/2/20,51.88
2013/2/21,51.51
2013/2/22,51.33
2013/2/23,51.6
2013/2/25,51.51
2013/2/26,50.96
2013/2/27,51.05
2013/3/1,51.23
2013/3/4,50.63
2013/3/5,51.05
2013/3/6,51.28
2013/3/7,51.23
2013/3/8,51.6
2013/3/11,51.7
2013/3/12,51.37
2013/3/13,51.46
2013/3/14,51.42
2013/3/15,51.05
2013/3/18,50.4
2013/3/19,50.49
2013/3/20,50.17
2013/3/21,50.22
2013/3/22,50.08
2013/3/25,50.45
2013/3/26,50.45
2013/3/27,50.59
2013/3/28,50.45
2013/3/29,50.96
2013/4/1,50.86
2013/4/2,50.72
2013/4/3,50.86
2013/4/8,49.8
2013/4/9,49.66
2013/4/10,49.75
2013/4/11,50.26
2013/4/12,50.26
2013/4/15,49.85
2013/4/16,49.94
