0.502,0.498,0.5,0.5,0.502,0.498,0.5,0.502,
0.5,0.502,0.5,0.5,0.5,0.5,0.5,0.5,
0.502,0.5,0.498,0.5,0.5,0.5,0.502,0.5,
0.502,0.5,0.5,0.502,0.5,0.5,0.5,0.502,

0.502,0.496,0.502,0.5,0.504,0.496,0.5,0.502,
0.502,0.502,0.5,0.5,0.5,0.5,0.502,0.5,
0.502,0.5,0.496,0.5,0.5,0.5,0.502,0.5,
0.502,0.5,0.5,0.502,0.5,0.502,0.5,0.504,

0.504,0.494,0.504,0.502,0.504,0.496,0.502,0.502,
0.502,0.502,0.5,0.5,0.498,0.5,0.504,0.498,
0.504,0.5,0.496,0.498,0.5,0.498,0.504,0.5,
0.504,0.5,0.5,0.504,0.502,0.504,0.498,0.504,

0.504,0.492,0.504,0.504,0.504,0.494,0.504,0.502,
0.504,0.504,0.5,0.498,0.496,0.502,0.506,0.498,
0.506,0.5,0.496,0.498,0.5,0.498,0.506,0.498,
0.506,0.5,0.5,0.506,0.502,0.504,0.498,0.506,

0.506,0.492,0.506,0.504,0.504,0.492,0.504,0.504,
0.504,0.504,0.5,0.496,0.494,0.502,0.506,0.498,
0.508,0.502,0.496,0.498,0.502,0.498,0.508,0.498,
0.508,0.502,0.5,0.506,0.504,0.506,0.496,0.508,

0.506,0.492,0.506,0.504,0.504,0.492,0.506,0.504,
0.504,0.504,0.502,0.496,0.492,0.504,0.508,0.496,
0.51,0.504,0.496,0.496,0.504,0.496,0.51,0.498,
0.51,0.504,0.5,0.506,0.504,0.508,0.494,0.508,

0.508,0.492,0.506,0.504,0.506,0.492,0.508,0.504,
0.504,0.506,0.502,0.494,0.49,0.506,0.51,0.494,
0.512,0.504,0.494,0.496,0.506,0.494,0.51,0.498,
0.512,0.504,0.5,0.508,0.504,0.51,0.492,0.508,

0.51,0.492,0.508,0.506,0.508,0.49,0.508,0.504,
0.506,0.506,0.504,0.492,0.488,0.506,0.512,0.492,
0.514,0.504,0.494,0.494,0.506,0.494,0.51,0.496,
0.514,0.504,0.502,0.51,0.504,0.51,0.49,0.508,

0.51,0.49,0.51,0.508,0.508,0.488,0.51,0.504,
0.506,0.508,0.504,0.49,0.488,0.508,0.514,0.492,
0.516,0.504,0.494,0.492,0.506,0.494,0.51,0.496,
0.516,0.504,0.504,0.51,0.506,0.512,0.49,0.51,

0.512,0.488,0.51,0.508,0.51,0.486,0.51,0.506,
0.506,0.508,0.506,0.488,0.488,0.508,0.514,0.49,
0.518,0.504,0.492,0.492,0.508,0.492,0.51,0.496,
0.518,0.504,0.504,0.512,0.508,0.514,0.49,0.512,

0.512,0.488,0.51,0.508,0.512,0.484,0.512,0.506,
0.508,0.51,0.506,0.486,0.486,0.51,0.516,0.49,
0.518,0.504,0.49,0.492,0.508,0.492,0.51,0.496,
0.518,0.504,0.504,0.512,0.508,0.516,0.49,0.514,

0.514,0.488,0.512,0.51,0.514,0.482,0.512,0.508,
0.51,0.51,0.506,0.486,0.486,0.51,0.516,0.49,
0.518,0.504,0.488,0.492,0.508,0.49,0.51,0.496,
0.518,0.504,0.504,0.512,0.508,0.518,0.49,0.516,

0.516,0.486,0.512,0.51,0.516,0.48,0.514,0.508,
0.51,0.512,0.508,0.486,0.486,0.512,0.516,0.49,
0.52,0.504,0.488,0.49,0.508,0.488,0.512,0.494,
0.52,0.504,0.504,0.514,0.51,0.52,0.49,0.516,

0.518,0.484,0.512,0.51,0.516,0.478,0.516,0.508,
0.51,0.512,0.51,0.484,0.484,0.512,0.516,0.49,
0.522,0.504,0.488,0.488,0.51,0.486,0.514,0.492,
0.522,0.504,0.504,0.516,0.51,0.52,0.488,0.516,

0.52,0.484,0.514,0.512,0.516,0.478,0.516,0.508,
0.51,0.514,0.51,0.484,0.484,0.514,0.516,0.488,
0.522,0.504,0.486,0.488,0.51,0.484,0.516,0.49,
0.522,0.504,0.504,0.516,0.51,0.522,0.488,0.518,

0.522,0.482,0.516,0.512,0.516,0.476,0.518,0.508,
0.51,0.514,0.51,0.482,0.484,0.516,0.518,0.486,
0.524,0.504,0.486,0.486,0.512,0.482,0.516,0.488,
