2009/10/13,43.57,781240
2009/10/14,44.1,770045
2009/10/15,44.35,709154
2009/10/16,44.35,443340
2009/10/19,44.51,433151
2009/10/20,44.55,479080
2009/10/21,44.22,389352
2009/10/22,43.57,753821
2009/10/23,44.03,546041
2009/10/26,44.24,345172
2009/10/27,44.15,356978
2009/10/28,43.45,482601
2009/10/29,42.62,1173142
2009/10/30,42.71,662065
2009/11/2,42.46,668419
2009/11/3,42.17,218740
2009/11/4,42.95,989972
2009/11/5,42.87,643530
2009/11/6,43.2,302364
2009/11/9,43.62,231006
2009/11/10,43.95,443056
2009/11/11,44.53,764646
2009/11/12,44.48,206239
2009/11/13,44.36,253689
2009/11/16,45.1,585729
2009/11/17,44.73,718053
2009/11/18,44.77,272262
2009/11/19,44.61,247778
2009/11/20,44.19,376218
2009/11/23,44.15,111808
2009/11/24,44.36,279948
2009/11/25,44.65,639948
2009/11/26,44.53,324098
2009/11/27,43.16,929349
2009/11/30,43.57,324481
2009/12/1,44.03,237104
2009/12/2,44.15,529005
2009/12/3,44.19,501225
2009/12/4,43.9,193413
2009/12/7,44.61,483113
2009/12/8,44.4,253926
2009/12/9,44.53,281270
2009/12/10,43.82,614678
2009/12/11,44.53,523183
2009/12/14,44.57,381105
2009/12/15,44.44,253851
2009/12/16,43.99,487650
2009/12/17,44.15,561821
2009/12/18,44.03,436150
2009/12/21,44.4,595134
2009/12/22,44.77,589693
2009/12/23,45.1,1210521
2009/12/24,45.56,1009186
2009/12/25,45.64,633060
2009/12/28,45.97,556439
2009/12/29,45.89,442431
2009/12/30,46.05,872117
2009/12/31,46.67,326366
2010/1/4,46.72,1132155
2010/1/5,46.72,932015
2010/1/6,47.58,1087143
2010/1/7,47.46,814344
2010/1/8,47.75,651830
2010/1/11,47.87,670025
2010/1/12,47.63,420473
2010/1/13,46.92,948986
2010/1/14,47.5,570406
2010/1/15,47.79,485743
2010/1/18,47.54,288586
2010/1/19,46.92,382797
2010/1/20,46.63,1318003
2010/1/21,46.26,776395
2010/1/22,44.98,1612081
2010/1/25,44.81,695785
2010/1/26,43.78,1416284
2010/1/27,43.74,787198
2010/1/28,44.69,676089
2010/1/29,43.82,727944
2010/2/1,43.33,1030361
2010/2/2,42.87,625747
2010/2/3,43.62,714184
2010/2/4,43.45,312541
2010/2/5,41.96,1231585
2010/2/6,42.33,1049372
2010/2/8,42.04,924930
2010/2/9,42.62,578396
2010/2/10,43.08,586447
2010/2/22,43.49,594117
2010/2/23,43.49,504580
2010/2/24,43.2,577819
2010/2/25,42.71,1062022
2010/2/26,42.62,483837
2010/3/1,43.66,715419
2010/3/2,43.53,528112
2010/3/3,43.53,462426
2010/3/4,43.16,426373
