0,1,gbest,160,161,235,246,1065590,201012,1065594,160,161,235,246
1,1,gbest,193,84,120,14,1058540,,1058539,69,26,54,3
0,1,gbest,231,253,207,41,1056140,201101,1056139,25,2,158,8
1,1,gbest,79,159,251,122,1025160,,1025164,69,26,54,3
0,1,gbest,25,24,16,24,1038540,201102,1038537,71,1,17,24
1,1,gbest,78,1,8,6,1038540,,1038536,9,4,20,22
0,1,gbest,86,10,245,207,1039160,201103,1039975,78,28,31,4
1,0,gbest,94,11,36,1,1052080,,1052076,65,34,37,1
0,1,gbest,110,1,196,140,1047340,201104,1049889,107,2,60,99
1,1,gbest,91,6,91,9,1072770,,1072770,99,3,53,81
0,1,gbest,85,3,72,164,1029140,201105,1029144,88,92,255,167
1,1,gbest,95,94,60,47,1031650,,1031646,114,74,75,35
0,1,gbest,119,29,142,157,1020770,201106,1020773,92,94,181,195
1,1,gbest,122,116,99,100,1020770,,1020772,134,101,38,3
0,0,gbest,95,96,14,12,1060840,201107,1060837,91,85,201,8
1,0,gbest,14,2,155,3,1054810,,1054805,158,37,13,11
0,1,gbest,188,92,80,102,1067590,201108,1099678,118,124,66,199
1,1,gbest,231,63,58,11,1067590,,1067589,105,85,3,73
0,1,gbest,13,14,26,12,1079380,201109,1079375,20,19,131,225
1,0,gbest,19,2,28,1,1084470,,1047392,236,158,107,213
0,1,gbest,26,25,198,226,1100600,201110,1082153,247,166,27,23
1,1,gbest,25,24,143,148,1105050,,1105047,231,200,191,241
0,0,gbest,14,8,57,2,1031700,201111,1031699,29,59,55,30
1,0,gbest,40,39,80,1,1050570,,1050568,40,39,80,1
0,0,gbest,57,38,21,3,1069770,201112,1068807,60,38,54,56
1,1,gbest,18,20,65,73,1065690,,1065689,64,38,27,31
0,1,gbest,17,31,195,248,1058930,201201,,,,,
1,1,gbest,74,15,45,22,1075760,,,,,,
0,1,gbest,17,118,145,167,1070920,,,,,,
1,1,gbest,50,71,137,38,1083750,,,,,,
0,1,gbest,135,136,124,117,1034140,,,,,,
1,1,gbest,25,5,121,129,1025870,,,,,,
0,0,gbest,67,230,31,45,1016040,,,,,,
1,0,gbest,73,220,145,148,1012190,,,,,,
0,1,gbest,189,194,207,132,1038320,,,,,,
1,1,gbest,225,39,222,93,1023320,,,,,,
0,1,gbest,152,148,63,141,1079490,,,,,,
1,1,gbest,150,148,39,170,1052880,,,,,,
0,1,gbest,170,172,209,210,1067070,,,,,,
1,1,gbest,202,92,89,130,1062310,,,,,,
0,1,gbest,238,242,122,166,1054470,,,,,,
1,0,gbest,26,96,235,233,1051970,,,,,,
0,1,gbest,9,4,172,46,1072040,,,,,,
1,0,gbest,167,141,214,216,1064240,,,,,,
0,1,gbest,191,182,179,39,1009750,,,,,,
1,1,gbest,203,170,240,82,1014480,,,,,,
0,1,gbest,231,5,185,94,1089360,,,,,,
1,1,gbest,225,7,149,116,1089360,,,,,,
0,1,gbest,44,45,199,241,1025410,,,,,,
1,1,gbest,43,96,79,30,1043620,,,,,,
0,1,gbest,178,184,227,248,1035650,,,,,,
1,0,gbest,253,232,18,16,1032690,,,,,,
